"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","GeneName"
"NLGN4Y",1.1339672800853e-57,0.525927706868696,0.262,0.056,3.31526674005737e-53,"NLGN4Y"
"NLGN1",1.31010430400598e-57,0.733180238971027,0.357,0.111,3.83022094319188e-53,"NLGN1"
"AKR1C2",2.49865370740802e-56,0.461400938167925,0.352,0.109,7.30506397897808e-52,"AKR1C2"
"DDR2",2.54033804614844e-56,0.624467059832612,0.583,0.295,7.42693231171958e-52,"DDR2"
"TBC1D4",2.62774144589344e-56,0.578944055415581,0.474,0.193,7.68246489121405e-52,"TBC1D4"
"SPTSSA",4.16481595391175e-56,0.324327908078273,0.283,0.068,1.21762559228564e-51,"SPTSSA"
"CACNA1C",5.99913341715414e-56,-0.688640426880243,0.263,0.585,1.75390664583919e-51,"CACNA1C"
"AC004381.1",5.94073156393489e-55,0.259023944651261,0.206,0.032,1.736832280032e-50,"AC004381.1"
"EYS",7.64298222827833e-55,0.470674581907908,0.383,0.132,2.23450228425945e-50,"EYS"
"DPYSL2",2.26162809788543e-54,0.508402114620678,0.768,0.481,6.61209590697786e-50,"DPYSL2"
"PMP22",2.37212525138679e-54,0.545466228873238,0.813,0.546,6.93514538495442e-50,"PMP22"
"FCHSD2",4.88644640239375e-54,0.764324053011432,0.624,0.358,1.42860147020384e-49,"FCHSD2"
"RPL28",6.28141488340362e-54,0.581440497522785,0.749,0.497,1.83643445531188e-49,"RPL28"
"PKIG",8.81797068290102e-54,0.424316094567742,0.476,0.194,2.57802190885294e-49,"PKIG"
"MT-CO2",9.51203521704612e-54,0.592738983962278,0.967,0.873,2.7809386160556e-49,"MT-CO2"
"RPS5",1.17138119545391e-53,0.501392029592279,0.61,0.316,3.42465006302905e-49,"RPS5"
"RPL13A",1.99327198183992e-53,0.595640617241413,0.867,0.685,5.82752996610719e-49,"RPL13A"
"CBLB",2.15157252064773e-53,0.769165783284624,0.885,0.739,6.29033742136571e-49,"CBLB"
"NUPR1",2.23683998552243e-53,0.476951219274035,0.541,0.255,6.53962538167339e-49,"NUPR1"
"AKT3",2.67921010459728e-53,0.660531813702079,0.892,0.738,7.83293866180061e-49,"AKT3"
"FBLN5",3.24285716226552e-53,0.653396637239826,0.759,0.516,9.48081719959948e-49,"FBLN5"
"LINC01807",6.63076982011368e-53,0.735149312554675,0.435,0.171,1.93857186460843e-48,"LINC01807"
"RPS20",7.28560382751953e-53,0.511163271731607,0.726,0.434,2.13001913501361e-48,"RPS20"
"CYP4Z1",7.44870781137292e-53,0.261387989958714,0.175,0.022,2.17770421573299e-48,"CYP4Z1"
"CYSLTR2",1.02943470519953e-52,0.426180392048036,0.311,0.089,3.00965530412134e-48,"CYSLTR2"
"FZD4",1.44526364494236e-52,0.358335573729803,0.391,0.136,4.22537279235348e-48,"FZD4"
"OSMR",1.88040804509162e-52,-0.865358211029006,0.157,0.443,5.49756096062986e-48,"OSMR"
"INSR",2.57534484141553e-52,0.514613561263318,0.475,0.205,7.52927817836245e-48,"INSR"
"MID1IP1",2.62139771968869e-52,0.301310831218011,0.243,0.053,7.66391837328186e-48,"MID1IP1"
"RPL10A",3.20444793724522e-52,0.503935555389629,0.713,0.42,9.36852398933012e-48,"RPL10A"
"RPL32",5.62842992989961e-52,0.554936665272901,0.742,0.465,1.64552777430545e-47,"RPL32"
"CCN1",1.17317173124448e-51,-0.941099813087109,0.099,0.374,3.42988487346637e-47,"CCN1"
"STAT3",1.36100299961464e-51,-0.71173284768527,0.288,0.564,3.97902836967336e-47,"STAT3"
"RPS12",2.31801131102071e-51,0.563124665888192,0.738,0.479,6.77693786890016e-47,"RPS12"
"AL356124.1",2.89516867989861e-51,0.555372994725903,0.578,0.294,8.46431515255158e-47,"AL356124.1"
"RPL23",3.50248173089755e-51,0.525216978600173,0.753,0.487,1.02398555884521e-46,"RPL23"
"TCP11L2",4.83736400107466e-51,0.295751305876111,0.237,0.051,1.41425173935419e-46,"TCP11L2"
"PRDX6",8.73482069303061e-51,0.452577910229011,0.563,0.278,2.55371217781443e-46,"PRDX6"
"RPL21",9.00817431749408e-51,0.55601741860678,0.764,0.516,2.63362984346257e-46,"RPL21"
"RPL7",1.04131382113379e-50,0.505624123503104,0.727,0.452,3.04438508746675e-46,"RPL7"
"LINC00513",1.31772408954492e-50,0.569182503802742,0.511,0.242,3.85249814819352e-46,"LINC00513"
"RPL12",1.61749674840673e-50,0.518121585021911,0.663,0.377,4.72891349364192e-46,"RPL12"
"RPS15A",1.65448700643189e-50,0.495853303556478,0.707,0.42,4.83705821200426e-46,"RPS15A"
"APOE",2.72632723852794e-50,0.683672681569676,0.481,0.203,7.97069031456028e-46,"APOE"
"CYGB",3.0778998016231e-50,0.33170154297453,0.326,0.101,8.99854786002531e-46,"CYGB"
"RPS14",3.31944716686355e-50,0.5489526389144,0.779,0.515,9.70473573704226e-46,"RPS14"
"BCL6",4.30998590059966e-50,0.480765292487383,0.59,0.299,1.26006747789932e-45,"BCL6"
"RHOQ",4.38040878084145e-50,0.457195089205571,0.589,0.3,1.28065631116681e-45,"RHOQ"
"ADH5",4.55204877995935e-50,0.389240820513277,0.454,0.188,1.33083698130891e-45,"ADH5"
"LINC00535",4.6268360606595e-50,0.578495657649292,0.243,0.057,1.35270179069441e-45,"LINC00535"
"DIO3OS",6.03551291063274e-50,0.272552191226594,0.238,0.052,1.76454255455259e-45,"DIO3OS"
"WASF3",6.27966601727213e-50,0.545044326533372,0.513,0.245,1.83592315680968e-45,"WASF3"
"AC093535.1",7.60186278030959e-50,0.315251306710983,0.243,0.056,2.22248060245131e-45,"AC093535.1"
"BNIP3",8.99018692698537e-50,0.295293973976493,0.307,0.089,2.62837104997344e-45,"BNIP3"
"FTL",1.07199079355057e-49,0.589284834388277,0.858,0.645,3.13407228402446e-45,"FTL"
"ALDH2",1.25529691618026e-49,0.313737967782652,0.296,0.084,3.66998606414461e-45,"ALDH2"
"ALDH6A1",1.38401095172297e-49,0.250767247876747,0.207,0.038,4.04629441845728e-45,"ALDH6A1"
"SERINC3",1.52143823018262e-49,0.394416288935161,0.479,0.211,4.44807680976191e-45,"SERINC3"
"IFITM3",2.33513501212068e-49,0.524522167244919,0.846,0.593,6.82700072143602e-45,"IFITM3"
"LAMC2",2.37123797638537e-49,0.254554998316995,0.212,0.04,6.93255134776027e-45,"LAMC2"
"RPL15",3.37220376695167e-49,0.477389991702886,0.717,0.441,9.85897493305991e-45,"RPL15"
"GGT5",3.97467875904792e-49,0.394839178492521,0.44,0.18,1.16203708199525e-44,"GGT5"
"RPL31",4.91176073846232e-49,0.506280193659178,0.69,0.417,1.43600236949684e-44,"RPL31"
"ANG",8.23145669680188e-49,0.305190473757545,0.318,0.098,2.406548679877e-44,"ANG"
"LDLRAD3",1.45010938888292e-48,0.653534937128132,0.564,0.3,4.2395398093381e-44,"LDLRAD3"
"RPL18A",1.46556681209065e-48,0.553909526471153,0.723,0.463,4.28473113182822e-44,"RPL18A"
"RUNX1",2.30658601950617e-48,-0.72661805613377,0.152,0.431,6.74353488662825e-44,"RUNX1"
"IGFBP3",2.93375885514218e-48,0.694361690613604,0.571,0.295,8.57713738889367e-44,"IGFBP3"
"KLHL24",3.13714833536794e-48,0.40877230912312,0.456,0.188,9.17176687328172e-44,"KLHL24"
"USP54",3.75412716032641e-48,0.443177255597913,0.46,0.194,1.09755661659303e-43,"USP54"
"RPL9",4.4042498305682e-48,0.546028904662512,0.748,0.521,1.28762648046492e-43,"RPL9"
"NGF-AS1",4.77075697785078e-48,0.404480800657924,0.248,0.062,1.39477851004445e-43,"NGF-AS1"
"TNFRSF19",4.78691611651347e-48,0.516754989996132,0.424,0.175,1.39950279582388e-43,"TNFRSF19"
"COL14A1",8.41502086075065e-48,-0.73652607466639,0.149,0.417,2.46021549884906e-43,"COL14A1"
"CELF2-AS2",1.49418762629399e-47,0.322089058106559,0.271,0.074,4.36840694423311e-43,"CELF2-AS2"
"PEAK1",1.87839642899797e-47,-0.725341257342709,0.397,0.637,5.49167979981848e-43,"PEAK1"
"C12orf40",2.26277639516387e-47,0.341483606996561,0.241,0.058,6.6154530689011e-43,"C12orf40"
"LMO3",2.37509292019715e-47,0.550724690975129,0.396,0.157,6.94382166148838e-43,"LMO3"
"RPL17",4.13864065775462e-47,0.482805603083597,0.749,0.486,1.20997298270114e-42,"RPL17"
"DST",4.53168110319767e-47,-0.595727242541586,0.709,0.858,1.32488228733087e-42,"DST"
"RPS18",5.84845799875745e-47,0.53045768226655,0.777,0.523,1.70985518051673e-42,"RPS18"
"RPS26",7.01581481596437e-47,0.448853362788878,0.56,0.289,2.05114361959534e-42,"RPS26"
"IP6K2",7.78722361584141e-47,0.405178169284663,0.485,0.219,2.27667269632739e-42,"IP6K2"
"ARRDC2",8.92824321563058e-47,0.253167735190938,0.246,0.06,2.61026118652176e-42,"ARRDC2"
"JAK1",9.86166676990444e-47,0.551857665972139,0.841,0.652,2.88315689684926e-42,"JAK1"
"AC114971.1",1.00460708817408e-46,0.423301388326499,0.182,0.03,2.93706928298574e-42,"AC114971.1"
"ACKR3",2.03855195695235e-46,0.384398119840003,0.271,0.074,5.95991050134588e-42,"ACKR3"
"EIF1",2.5016403180399e-46,0.51716228471372,0.826,0.6,7.31379563382146e-42,"EIF1"
"PTBP3",5.19889563840594e-46,0.523185119462236,0.596,0.338,1.51994912884436e-41,"PTBP3"
"H2AFJ",5.67971340340717e-46,0.402970710651766,0.581,0.298,1.66052101062012e-41,"H2AFJ"
"AASS",7.75148019779417e-46,0.375399172053489,0.461,0.201,2.2662227506271e-41,"AASS"
"RPS9",1.43193980859021e-45,0.533901234976322,0.722,0.468,4.18641922439433e-41,"RPS9"
"PRRX1",1.70579943276497e-45,-0.678852977019301,0.239,0.504,4.98707522163167e-41,"PRRX1"
"PAX8-AS1",3.02639109333691e-45,0.268548690018059,0.229,0.054,8.84795700047979e-41,"PAX8-AS1"
"RPS11",3.82754101170121e-45,0.534423684437151,0.781,0.543,1.11901989018097e-40,"RPS11"
"SMIM3",3.95079602271998e-45,0.383526047471604,0.446,0.195,1.15505472520241e-40,"SMIM3"
"UBA52",5.03406910513319e-45,0.457611910669926,0.692,0.414,1.47176044357674e-40,"UBA52"
"RPS2",7.1687863265764e-45,0.492022757485146,0.808,0.543,2.09586637043788e-40,"RPS2"
"TMEM150C",1.63199507660156e-44,0.32430720949284,0.266,0.075,4.77130080595231e-40,"TMEM150C"
"TFDP2",1.67048352607205e-44,0.410363431567569,0.407,0.167,4.88382563682426e-40,"TFDP2"
"CRLF1",2.15802638157349e-44,0.47739653535046,0.497,0.235,6.30920592916825e-40,"CRLF1"
"TTTY10",2.41723087481656e-44,0.251487620642038,0.199,0.039,7.06701618561369e-40,"TTTY10"
"FBXO42",2.78663846833675e-44,0.395641406413426,0.47,0.215,8.14701622602932e-40,"FBXO42"
"RPL27A",3.18473816776015e-44,0.485738598011475,0.747,0.491,9.31090050726358e-40,"RPL27A"
"ARHGAP32",4.3381759212786e-44,0.450310167646283,0.523,0.26,1.26830911234501e-39,"ARHGAP32"
"MXI1",4.70820525796781e-44,0.363849090203687,0.377,0.144,1.37649088921947e-39,"MXI1"
