"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","GeneName"
"PARD3B",4.39896597708423e-09,-0.265505463954604,0.509,0.595,0.000128608169306034,"PARD3B"
"HSP90B1",5.05431100469213e-09,-0.268012734563951,0.318,0.409,0.000147767836533179,"HSP90B1"
"MAP4K5",6.63123803114461e-09,-0.287709673706606,0.336,0.426,0.000193870875078544,"MAP4K5"
"GFPT2",1.28067361935248e-08,-0.545507431174252,0.278,0.358,0.00037441773935389,"GFPT2"
"GNAQ",1.32857808183515e-08,-0.263023482555703,0.439,0.528,0.000388423088005324,"GNAQ"
"BGN",1.38205035586034e-08,-0.334126886706969,0.375,0.451,0.000404056242039329,"BGN"
"CPQ",1.61986949573366e-08,-0.282473025340459,0.506,0.577,0.000473585045772693,"CPQ"
"STEAP4",1.81650925253583e-08,-0.518814538236211,0.338,0.409,0.000531074645071375,"STEAP4"
"ZEB1",1.93624459437213e-08,-0.444885576712391,0.786,0.806,0.000566080469610635,"ZEB1"
"ITGAV",2.89309327894998e-08,-0.254572995149242,0.234,0.325,0.000845824751033817,"ITGAV"
"PXDN",2.90639162381704e-08,-0.321984473263989,0.45,0.518,0.000849712655139149,"PXDN"
"IGF1",2.91126403667375e-08,-0.458357412171824,0.372,0.45,0.000851137153761938,"IGF1"
"SEMA3C",2.98337664794408e-08,-0.258361470783805,0.079,0.156,0.000872219996792932,"SEMA3C"
"ATP11A",3.19325581952786e-08,-0.255174697118687,0.209,0.298,0.000933580271397166,"ATP11A"
"PLCL1",3.93055666751253e-08,0.324546396253895,0.263,0.182,0.00114913754731396,"PLCL1"
"HLA-A",4.19781181046287e-08,-0.26245222793118,0.362,0.443,0.00122727226090692,"HLA-A"
"PRKG1",4.58071907780931e-08,-0.265747942223765,0.876,0.926,0.00133921902958833,"PRKG1"
"KCND2",5.10640914643854e-08,-0.275440694802955,0.044,0.108,0.00149290977805277,"KCND2"
"EFEMP1",6.1416803902616e-08,-0.351650513563049,0.318,0.399,0.00179558167889688,"EFEMP1"
"CDK8",6.24959653365106e-08,-0.534929579006738,0.432,0.501,0.00182713204257822,"CDK8"
"NFAT5",6.68422969408651e-08,-0.255423666697542,0.457,0.528,0.00195420139336313,"NFAT5"
"KIRREL3",7.13227606970765e-08,-0.36005068420139,0.054,0.119,0.00208519223173973,"KIRREL3"
"ARHGAP10",9.05964241290257e-08,-0.345768194252985,0.706,0.72,0.0026486770558362,"ARHGAP10"
"TRPS1",1.24171992091501e-07,0.291525118095876,0.754,0.675,0.00363029236078713,"TRPS1"
"CCDC102B",1.61603931911894e-07,-0.265944782554643,0.153,0.235,0.00472465255337613,"CCDC102B"
"LSAMP",1.70319230553459e-07,-0.264796050626298,0.045,0.106,0.00497945302446093,"LSAMP"
"PLSCR4",2.56682357527131e-07,-0.304658822274403,0.481,0.541,0.0075043654046632,"PLSCR4"
"GLI2",3.48961934270267e-07,-0.26652150429281,0.155,0.232,0.0102022511103255,"GLI2"
"CLU",5.17877883164901e-07,-0.347220206655079,0.098,0.168,0.0151406777922091,"CLU"
"PTN",6.0336942060561e-07,-0.319305825106947,0.595,0.632,0.0176401083808256,"PTN"
"CD63",7.12085913121672e-07,-0.267764081137917,0.784,0.761,0.0208185437560252,"CD63"
"FRMD4A",8.0954081010831e-07,-0.328219593544011,0.274,0.345,0.0236677351243265,"FRMD4A"
"ZSWIM6",1.19109177284575e-06,-0.314355076950317,0.306,0.376,0.0348227590709183,"ZSWIM6"
"ITGBL1",1.86147674350492e-06,-0.433462837723815,0.159,0.232,0.0544221340731098,"ITGBL1"
"NPAS3",1.97802772648771e-06,0.273259349580671,0.52,0.429,0.0578296186115947,"NPAS3"
"AC011246.1",2.19696113136748e-06,0.373506982978625,0.687,0.612,0.0642303556366595,"AC011246.1"
"SH3PXD2A",2.46895250447842e-06,-0.253584173516451,0.214,0.288,0.072182295420931,"SH3PXD2A"
"PKNOX2",2.75127781340519e-06,-0.440824925728977,0.203,0.272,0.0804363581527143,"PKNOX2"
"ACSL4",4.87652277897071e-06,-0.286798950743249,0.183,0.257,0.142570019965988,"ACSL4"
"PCDH9",5.386278862514e-06,0.337942186802891,0.784,0.739,0.157473248824459,"PCDH9"
"ESYT2",7.02430251088327e-06,-0.526992699363286,0.475,0.517,0.205362508208183,"ESYT2"
"SMURF2",1.06383196194149e-05,-0.285399385453118,0.35,0.405,0.311021912393214,"SMURF2"
"B2M",1.47138303843407e-05,-0.305503289936972,0.772,0.77,0.430173545116585,"B2M"
"NTN4",1.69111338812027e-05,-0.290739227263047,0.315,0.379,0.494413910150842,"NTN4"
"AGAP1",2.63926112670143e-05,-0.252031911776322,0.586,0.622,0.77161438300243,"AGAP1"
"FGF7",3.79561963342181e-05,-0.547371137725758,0.143,0.198,1,"FGF7"
"COL4A3",4.13574115217307e-05,-0.252264418817677,0.425,0.484,1,"COL4A3"
"PDGFD",5.33442407482e-05,-0.33361351180371,0.673,0.666,1,"PDGFD"
"PTGDS",6.06852868781161e-05,-0.541449214599899,0.323,0.377,1,"PTGDS"
"SCLT1",8.80040498734023e-05,0.263042686215477,0.341,0.273,1,"SCLT1"
"AFF3",9.99754688982267e-05,-0.299382710492038,0.398,0.461,1,"AFF3"
"FBN1",0.000100490988597468,-0.290172550171356,0.813,0.8,1,"FBN1"
"COL5A2",0.000162079260887129,-0.305148463308356,0.625,0.642,1,"COL5A2"
"PLOD2",0.000242501740539303,-0.260189479421101,0.239,0.292,1,"PLOD2"
"PLEKHH2",0.000406628127997787,-0.278166469781736,0.414,0.455,1,"PLEKHH2"
"NR4A1",0.000744287339962392,-0.390667975269131,0.214,0.251,1,"NR4A1"
"ZNF331",0.00180937945024885,-0.289983167447738,0.157,0.11,1,"ZNF331"
"NOX4",0.00367309997654718,-0.274345144457058,0.499,0.513,1,"NOX4"
"WWTR1",0.0430281013082172,-0.26953396963296,0.528,0.517,1,"WWTR1"
"SERPINE1",0.0814812762360365,-0.551639194251268,0.244,0.201,1,"SERPINE1"
"FBLN1",0.0971118031442281,-0.264883628589955,0.608,0.586,1,"FBLN1"
"MT2A",0.253366873709976,-0.306596681447751,0.306,0.262,1,"MT2A"
"VCAN",0.282318205165239,-0.391278233095614,0.632,0.605,1,"VCAN"
"GSN",0.56294605573423,-0.397975961312523,0.979,0.909,1,"GSN"
"RANBP2",0.713803614070333,-0.435606951764765,0.336,0.326,1,"RANBP2"
