"","Chemo_p_val","Chemo_avg_log2FC","Chemo_pct.1","Chemo_pct.2","Chemo_p_val_adj"
"TBC1D16",0.0708930746271795,-0.563987919590895,0.144,0.161,1
"HEATR3",0.071025612285791,-0.339243643538661,0.089,0.113,1
"RDH11",0.0718568749844469,-0.265625157030204,0.138,0.099,1
"CTTNBP2NL",0.0723705216622047,-0.670268822822926,0.31,0.218,1
"IL6ST",0.0728657803516225,-0.872110962381148,0.661,0.499,1
"MYO1E",0.0729151874143992,-0.97312174688064,0.417,0.284,1
"ATRX",0.0729746522859254,-0.272380956207832,0.733,0.538,1
"PIBF1",0.0741903380452751,-0.487374968466368,0.644,0.441,1
"LAMTOR4",0.0746177467987214,-0.332275536846185,0.164,0.119,1
"BNIP3L",0.074910894480342,-0.648015967316566,0.365,0.257,1
"KIAA1109",0.0751526634668178,-0.804431990124473,0.595,0.467,1
"NUDT5",0.0756394384000526,-0.264410418320099,0.175,0.129,1
"FUT8",0.0761037068195047,-0.944809500244621,0.282,0.27,1
"CHCHD2",0.0762127056653923,-0.51226155964233,0.353,0.253,1
"EFCAB13",0.0762376603768364,-0.300441131408801,0.149,0.109,1
"PPM1F",0.0763112128575131,-0.406218396477228,0.078,0.101,1
"CTSS",0.0766700087628678,-0.524320447794424,0.083,0.105,1
"SYNE2",0.0780919462130398,-1.00995062270644,0.704,0.51,1
"EHMT1",0.0781204783959356,-0.474109275416899,0.667,0.447,1
"CASP4",0.0784218701565607,-0.604208693744465,0.241,0.171,1
"RPS9",0.0791741007851854,-0.969156571701991,0.491,0.399,1
"TAGLN",0.0793329439910332,-0.777978597717599,0.187,0.133,1
"CDK13",0.0796735888123656,-0.420475575509641,0.736,0.496,1
"RPS3A",0.0796905708027218,-0.900286273882919,0.578,0.453,1
"CLEC2D",0.0797160597941797,-0.585325517465169,0.287,0.207,1
"TET2",0.0802986908522631,-0.708144558918441,0.543,0.371,1
"GPX4",0.0804178679108685,-0.513992210571929,0.276,0.198,1
"SNX14",0.080887192288607,-0.550756489900871,0.534,0.369,1
"EHBP1",0.0809765734045248,-0.656092545450699,0.514,0.357,1
"ADAM10",0.0814006890392378,-0.547089603752969,0.69,0.457,1
"MAP4K5",0.0815836331740158,-0.85725713268263,0.362,0.326,1
"TNFRSF10B",0.0819815696699286,-0.532693758531375,0.144,0.162,1
"RPS27",0.0821557438080413,-0.947657889657346,0.514,0.421,1
"EXOSC6",0.0825463307248199,-0.259486703544189,0.141,0.102,1
"ANKHD1",0.0826426460745451,-0.298105812083752,0.761,0.535,1
"WAC",0.0848186574698505,-0.369119060517252,0.741,0.527,1
"SF3B2",0.0848358422828759,-0.350244327923578,0.184,0.134,1
"PITPNM2",0.0852368921321954,-0.980447171916419,0.282,0.267,1
"SEPTIN9",0.0863397181686034,-0.837098033652486,0.23,0.23,1
"TRIP12",0.0864110473878502,-0.411917112378769,0.782,0.542,1
"KDELR2",0.0865511728308538,-0.335960057427941,0.178,0.13,1
"TMBIM6",0.0868761995845421,-0.628018033476785,0.497,0.34,1
"ADAMTS17",0.0870748155587059,-0.372668834767134,0.161,0.118,1
"UBE2E3",0.0873860307105096,-0.559695217563197,0.434,0.306,1
"MYO15B",0.0875759509525892,-0.532693124044585,0.109,0.128,1
"PRRC2B",0.0876063538881291,-0.512738419792349,0.615,0.409,1
"RPL4",0.0882054003269451,-0.609853813402891,0.356,0.251,1
"ST3GAL2",0.0885414668472628,-0.283389344378327,0.161,0.119,1
"CTNNB1",0.0889734963780399,-0.732105448604822,0.641,0.429,1
"CEP192",0.0890313970374134,-0.477288406039614,0.489,0.329,1
"FOXO3",0.0898862027699916,-0.683193686481292,0.764,0.569,1
"YWHAZ",0.0905045014004361,-0.628067914351586,0.647,0.425,1
"MON2",0.0905932954481774,-0.28172084468008,0.782,0.552,1
"TGFB1",0.091433269339177,-0.55886126850311,0.106,0.125,1
"DOCK4",0.0915527947034321,-1.18458680393523,0.71,0.552,1
"RAC1",0.0917567471614062,-0.981286038985815,0.443,0.364,1
"VTI1A",0.0925011303416369,-0.741695825403719,0.672,0.515,1
"WASHC5",0.0931356931665206,-0.310519239520931,0.187,0.138,1
"ANKRD36",0.0932425947403428,-0.540433835750678,0.388,0.273,1
"ACSL3",0.0935952724838344,-0.64682515326216,0.54,0.368,1
"WASF2",0.0939562624629658,-0.98522790328499,0.555,0.433,1
"LDLRAD4",0.0944215392927011,-0.307626906447211,0.828,0.591,1
"DDX58",0.0947250334047867,-0.685781493109693,0.155,0.169,1
"MIR181A1HG",0.0951612995845507,-0.73162316375094,0.261,0.192,1
"RPL37A",0.0953727867478464,-0.534658888467447,0.753,0.498,1
"RNF220",0.0956866226023377,-0.340789936783889,0.115,0.083,1
"HNRNPF",0.0958431224996874,-0.761872320616837,0.287,0.268,1
"CNOT6",0.0962207766084332,-0.31053396124236,0.175,0.129,1
"DIPK2A",0.096502849522924,-0.251090330291769,0.132,0.097,1
"ZFYVE26",0.0965041152840045,-0.251947425008369,0.155,0.114,1
"EIF3D",0.0965086257238579,-0.39412500649839,0.19,0.138,1
"PTPRJ",0.0971390768399651,-0.764289452470241,0.299,0.215,1
"ARL6IP6",0.098772689211611,-0.355087057460348,0.184,0.136,1
"PLCB4",0.098960995604043,-0.629083698875539,0.716,0.463,1
"RPS16",0.0993653536222944,-0.974112941702136,0.626,0.476,1
"HNRNPD",0.0996678689158353,-0.55733054914613,0.569,0.39,1
"ZADH2",0.1000013487134,-0.38878360973654,0.239,0.176,1
"C6",0.100398585000494,-0.258614672724021,0.27,0.199,1
"GUSB",0.100640452417306,-0.323969766238101,0.089,0.111,1
"MITD1",0.10070679627946,-0.343612208778532,0.098,0.118,1
"DLEU2",0.100832636229953,-0.917288000252089,0.684,0.518,1
"VPS41",0.101048754446966,-0.444992466233687,0.316,0.23,1
"MYO9B",0.102580582231935,-0.625615276805024,0.422,0.295,1
"ITPKC",0.102615467762566,-0.370346025530912,0.149,0.108,1
"PDGFD",0.103007606121518,-1.37736694560179,0.207,0.211,1
"GXYLT2",0.103504080008315,-0.295642241508317,0.152,0.17,1
