"","Normal_p_val","Normal_avg_log2FC","Normal_pct.1","Normal_pct.2","Normal_p_val_adj","Chemo_p_val","Chemo_avg_log2FC","Chemo_pct.1","Chemo_pct.2","Chemo_p_val_adj","max_pval","minimump_p_val"
"ADRA1A",6.08736463747027e-15,0.87539870466446,0.432,0.162,2.2280363309605e-10,2.647541744187e-86,1.06964660279004,0.548,0.21,9.69026753789885e-82,6.08736463747027e-15,5.29508348837399e-86
"PLCL1",9.60698765426397e-15,1.65224749174967,0.696,0.414,3.51625355133716e-10,2.24194939515988e-85,1.14388574118709,0.812,0.418,8.20575898122466e-81,9.60698765426397e-15,4.48389879031982e-85
"KANK1",1.53063050468955e-17,1.48423666926499,0.656,0.336,5.60226071021424e-13,5.71918178554899e-85,1.18381324777324,0.729,0.355,2.09327772532879e-80,1.53063050468955e-17,1.14383635710979e-84
"PIP5K1B",5.71806497784742e-23,1.50465161556657,0.584,0.227,2.09286896254194e-18,6.10225544743778e-85,1.04043104176102,0.642,0.266,2.2334865163167e-80,5.71806497784742e-23,1.22045108948756e-84
"NRAP",2.46026823323678e-14,0.740461497301257,0.464,0.18,9.00482776046995e-10,9.11905317666115e-85,0.955107929440197,0.602,0.24,3.33766465318975e-80,2.46026823323678e-14,1.82381063533224e-84
"MYO18B",1.00673392040023e-20,1.22837628955698,0.504,0.174,3.68474682205687e-16,1.82375735495069e-84,0.824874653700801,0.595,0.237,6.67513429485503e-80,1.00673392040023e-20,3.64751470990135e-84
"RETREG1",2.60586736789271e-15,0.831982645245934,0.544,0.236,9.53773515322411e-11,2.31759705897225e-84,1.06574821036757,0.617,0.258,8.48263699554434e-80,2.60586736789271e-15,4.63519411794453e-84
"HSPB7",3.60410716414407e-18,1.07834577074699,0.576,0.253,1.31913926314837e-13,2.34082073434893e-83,1.0229446538003,0.61,0.258,8.56763796979052e-79,3.60410716414407e-18,4.68164146869793e-83
"DTNA",3.33014481638917e-12,1.40595349561047,0.648,0.367,1.2188663042466e-07,3.10782384994554e-83,1.18423479753691,0.765,0.393,1.13749460731857e-78,3.33014481638917e-12,6.21564769989113e-83
"CASQ2",2.84445870352423e-18,0.613091963120409,0.56,0.212,1.0411003300769e-13,5.09988437546684e-83,0.89387406776567,0.623,0.253,1.86660868026462e-78,2.84445870352423e-18,1.01997687509338e-82
"TTN-AS1",1.28605332054492e-19,1.45187306205449,0.712,0.375,4.70708375852645e-15,1.66529086442739e-82,1.20290565543709,0.762,0.392,6.09513109289069e-78,1.28605332054492e-19,3.33058172885474e-82
"FABP3",3.06938383563178e-13,0.711930340575054,0.584,0.292,1.12342517767959e-08,5.29464928478876e-82,0.919177454522282,0.637,0.277,1.93789458472553e-77,3.06938383563178e-13,1.05892985695775e-81
"LRRC39",2.65853890988122e-17,1.08537866750559,0.496,0.195,9.73051826405626e-13,3.84410505226363e-81,1.00092071895726,0.57,0.228,1.40698089017901e-76,2.65853890988122e-17,7.68821010452727e-81
"TMEM182",5.75067141219427e-13,0.924363607515186,0.408,0.165,2.10480324357722e-08,8.46373320249215e-81,1.04928944194319,0.565,0.226,3.09781098944415e-76,5.75067141219427e-13,1.69274664049842e-80
"GCNT2",1.02670286542791e-06,0.85406426627851,0.352,0.19,0.0375783515775271,9.60980551551544e-81,1.05690290062628,0.557,0.222,3.5172849167338e-76,1.02670286542791e-06,1.92196110310309e-80
"AL513487.1",1.49557443910687e-11,0.798667591488558,0.376,0.148,5.47395200457505e-07,3.99783967392327e-80,1.1139257427313,0.525,0.201,1.46324929905266e-75,1.49557443910687e-11,7.99567934784655e-80
"KIF21A",1.26987515694175e-27,1.5678557346456,0.576,0.196,4.64787006192248e-23,4.63763951770518e-80,1.06627426412239,0.617,0.263,1.69742243987527e-75,1.26987515694175e-27,9.27527903541032e-80
"RBFOX1",9.92077543913991e-15,1.18732903767587,0.552,0.26,3.6311030184796e-10,1.14783458051052e-79,0.966326455892686,0.677,0.291,4.20118934812656e-75,9.92077543913991e-15,2.29566916102106e-79
"DPF3",5.12330574457458e-16,1.40381568827305,0.536,0.219,1.87518113557174e-11,1.47685019528044e-79,1.08707699711262,0.614,0.252,5.40541939974595e-75,5.12330574457458e-16,2.9537003905609e-79
"RBM24",5.75369068103734e-28,1.34800036317846,0.552,0.176,2.10590832616648e-23,8.28316900498149e-79,0.951712419193409,0.565,0.226,3.03172268751327e-74,5.75369068103734e-28,1.65663380099628e-78
"TXLNB",8.39785743119859e-10,0.685375916266058,0.4,0.181,3.073699798393e-05,1.25506288509014e-78,1.01691647313181,0.53,0.215,4.59365566571843e-74,8.39785743119859e-10,2.51012577018026e-78
"CCDC141",2.72441490493175e-10,1.0001057757371,0.536,0.278,9.97163099354071e-06,1.44753433871137e-78,1.00258792859342,0.687,0.304,5.29812043311748e-74,2.72441490493175e-10,2.89506867742271e-78
