p_val,avg_log2FC,pct.1,pct.2,p_val_adj,GeneName
1.04E-55,0.331589529,0.295,0.096,3.05E-51,MBOAT1
5.89E-19,0.331959501,0.286,0.167,1.72E-14,UBC
1.42E-17,0.332490389,0.474,0.345,4.16E-13,TNFRSF19
1.39E-33,0.33285353,0.917,0.824,4.06E-29,TXNIP
2.15E-24,0.333948788,0.611,0.469,6.30E-20,PLPP3
1.55E-38,0.33401831,0.444,0.244,4.52E-34,PFKFB2
8.69E-22,0.334377795,0.772,0.696,2.54E-17,HSPB7
1.50E-24,0.334389832,0.524,0.361,4.38E-20,AC002451.1
3.24E-07,0.336168339,0.638,0.646,0.009465541,TENT5A
3.42E-42,0.336816467,0.226,0.073,1.00E-37,RPL36
2.52E-59,0.337274341,0.256,0.07,7.36E-55,OST4
1.43E-24,0.337665948,0.3,0.16,4.17E-20,RPL26
2.53E-23,0.33796537,0.96,0.966,7.39E-19,TNNT2
1.31E-12,0.339339748,0.71,0.65,3.83E-08,ASAH1
1.95E-41,0.339712674,0.318,0.135,5.70E-37,PSMD8
1.27E-29,0.339979553,0.672,0.524,3.71E-25,HIF3A
2.75E-22,0.340555004,0.531,0.372,8.04E-18,DKK3
5.14E-24,0.341584204,0.243,0.118,1.50E-19,SRP14
2.83E-53,0.344640242,0.267,0.083,8.27E-49,FAM13C
7.97E-30,0.34483033,0.267,0.121,2.33E-25,RPL18A
8.74E-34,0.345729321,0.424,0.239,2.55E-29,NDUFB1
1.56E-25,0.346990317,0.513,0.352,4.55E-21,ARL6IP5
4.35E-20,0.347957257,0.434,0.298,1.27E-15,EEF1A2
9.89E-06,0.349113052,0.251,0.193,0.289057104,MFGE8
2.75E-12,0.350888298,0.723,0.76,8.04E-08,PBX1
8.21E-25,0.351771575,0.881,0.938,2.40E-20,CBLB
2.19E-24,0.35303535,0.342,0.196,6.42E-20,RPL24
9.01E-25,0.354662817,0.296,0.155,2.63E-20,RPL27A
2.41E-45,0.35540946,0.272,0.098,7.03E-41,UBL5
