"","Normal_p_val","Normal_avg_log2FC","Normal_pct.1","Normal_pct.2","Normal_p_val_adj","Chemo_p_val","Chemo_avg_log2FC","Chemo_pct.1","Chemo_pct.2","Chemo_p_val_adj","max_pval","minimump_p_val"
"FSD2",3.03885284675031e-77,1.01810242144719,0.638,0.145,1.11225053043908e-72,1.46189105007698e-24,0.839478648937553,0.622,0.21,5.35066743238675e-20,1.46189105007698e-24,6.07770569350068e-77
"AC022034.1",5.51177523832894e-77,1.02607890145527,0.595,0.124,2.01736485498077e-72,1.85260047132635e-19,0.763090137602551,0.582,0.207,6.78070298510157e-15,1.85260047132635e-19,1.10235504766577e-76
"MROH7",7.63984460190133e-77,0.925099770684289,0.614,0.134,2.7962595227419e-72,2.86422201241496e-22,0.703313454720236,0.561,0.185,1.048333898764e-17,2.86422201241496e-22,1.52796892038027e-76
"NMRK2",1.05919152151369e-76,0.942251511090894,0.586,0.129,3.87674688789224e-72,8.03167503835142e-31,0.885081936805962,0.643,0.194,2.939673380787e-26,8.03167503835142e-31,2.11838304302738e-76
"EEF1A2",1.08573649407135e-76,0.761077961615191,0.671,0.163,3.97390414195055e-72,3.80380619685202e-39,1.01656250160353,0.663,0.186,1.39223110610981e-34,3.80380619685202e-39,2.17147298814273e-76
"TRIM63",1.69956743159059e-76,0.969498913594789,0.562,0.116,6.22058675636471e-72,2.35222075966571e-27,0.895679461793471,0.612,0.197,8.60936320245246e-23,2.35222075966571e-27,3.39913486318122e-76
"RPL3L",2.00790970075719e-76,0.741161715232505,0.586,0.123,7.34915029574139e-72,6.12525107223991e-27,0.652824835998468,0.602,0.185,2.24190314495053e-22,6.12525107223991e-27,4.01581940151434e-76
"LINC01428",4.73905265475814e-76,0.973975689672144,0.567,0.117,1.73454066216803e-71,8.16511425301602e-14,0.565386411518498,0.439,0.16,2.98851346774639e-09,8.16511425301602e-14,9.47810530951619e-76
"CAP2",6.15456287055607e-76,1.07522375643959,0.657,0.149,2.25263155625223e-71,4.64746437695688e-27,0.873206317722111,0.684,0.221,1.70101843660999e-22,4.64746437695688e-27,1.23091257411122e-75
"NEK10",6.38674833448993e-76,1.18137643105152,0.633,0.144,2.33761375790666e-71,5.0287226718965e-27,0.93262075117232,0.724,0.242,1.84056278514084e-22,5.0287226718965e-27,1.27734966689798e-75
"GPAT3",8.05894399298545e-76,1.01149342685103,0.643,0.145,2.94965409087261e-71,1.43199062365465e-19,0.665869013385681,0.612,0.224,5.24122888163838e-15,1.43199062365465e-19,1.61178879859708e-75
"LINC02269",1.00195054743617e-75,1.20739987726772,0.581,0.118,3.66723919867112e-71,3.11819549642568e-27,1.22262044229868,0.582,0.171,1.14129073364676e-22,3.11819549642568e-27,2.00390109487237e-75
"RNF150",1.29417839355836e-75,1.49987728379563,0.81,0.24,4.73682233826294e-71,3.88024448914908e-21,1.03874364543223,0.806,0.304,1.42020828547345e-16,3.88024448914908e-21,2.58835678711671e-75
"C10orf71",1.56905588783634e-74,0.700626338946375,0.519,0.098,5.74290145506978e-70,6.11605374669273e-18,0.553734291849668,0.51,0.18,2.23853683182701e-13,6.11605374669273e-18,3.13811177567267e-74
"PALLD",2.44930226068519e-74,1.75082642289458,0.871,0.331,8.96469120433387e-70,7.45889484189152e-25,1.10367153953314,0.878,0.417,2.73003010108072e-20,7.45889484189152e-25,4.89860452137041e-74
"RALYL",3.92002253729439e-74,1.39456494709713,0.562,0.114,1.43476744887512e-69,7.49038730966178e-45,1.46478072015882,0.837,0.232,2.74155665920931e-40,7.49038730966178e-45,7.84004507458876e-74
"KCNN2",5.05270510194398e-74,1.09165382297927,0.6,0.131,1.84934059436252e-69,1.69126357440906e-23,0.78059680257588,0.612,0.202,6.19019380869458e-19,1.69126357440906e-23,1.01054102038881e-73
"LINC02334",5.64465115291299e-74,0.98109678034255,0.6,0.131,2.06599876847768e-69,5.25629663955014e-17,0.629705535624987,0.531,0.191,1.92385713304175e-12,5.25629663955014e-17,1.1289302305826e-73
"AC008496.2",5.80018832938643e-74,0.801565313081935,0.538,0.106,2.12292693043873e-69,4.28019548580305e-10,0.290372831128934,0.367,0.143,1.56659434975877e-05,4.28019548580305e-10,1.16003766587728e-73
"ATP1A2",5.86342121927086e-74,0.982315340954137,0.8,0.219,2.14607080046533e-69,2.09074104496418e-14,0.763305311089915,0.561,0.224,7.65232129867341e-10,2.09074104496418e-14,1.17268424385417e-73
"B4GALNT3",6.45414275775951e-74,0.940253324848359,0.576,0.123,2.36228079076756e-69,2.28693509819157e-16,0.532580053412038,0.541,0.198,8.37041115289098e-12,2.28693509819157e-16,1.29082855155189e-73
"BSG",1.17449082395581e-73,0.960956524420667,0.89,0.371,4.29875386476065e-69,2.02243695281875e-33,1.23724733606306,0.867,0.354,7.40232149101191e-29,2.02243695281875e-33,2.34898164791164e-73
"CCDC141",1.45916556143097e-73,1.3066750178237,0.843,0.254,5.3406918713935e-69,9.03783431114481e-31,1.18208379033656,0.888,0.317,3.30793773622211e-26,9.03783431114481e-31,2.91833112286196e-73
"RNF207",1.84430221703399e-73,0.762784512959063,0.552,0.117,6.75033054456612e-69,6.75249253344657e-22,0.711630543319383,0.633,0.227,2.47147979216678e-17,6.75249253344657e-22,3.68860443406797e-73
"AQP7",2.29863281481458e-73,1.05381826515105,0.733,0.189,8.41322596550285e-69,4.16567799161147e-24,0.737692411266524,0.673,0.232,1.52467980170971e-19,4.16567799161147e-24,4.59726562962924e-73
"GABRB1",2.30609708800949e-73,1.09336741924709,0.543,0.109,8.44054595182352e-69,8.66362734004307e-26,0.977707575156046,0.571,0.172,3.17097424272916e-21,8.66362734004307e-26,4.61219417601894e-73
"MYL7",3.01045662608351e-73,0.765194655322469,0.5,0.093,1.10185722971282e-68,1.17197915442262e-23,0.806195228691058,0.49,0.141,4.28956090310222e-19,1.17197915442262e-23,6.02091325216703e-73
"ANKRD2",3.28726950241487e-73,0.84771349953778,0.6,0.13,1.20317351057887e-68,1.69588980182487e-15,0.633793738562679,0.449,0.154,6.20712626365919e-11,1.69588980182487e-15,6.57453900482982e-73
"AL451069.1",4.78891122168259e-73,0.748687666545956,0.486,0.089,1.75278939624805e-68,3.49371246458622e-12,0.403739560953243,0.316,0.105,1.2787336991632e-07,3.49371246458622e-12,9.57782244336529e-73
"PHACTR1",5.83617998058532e-73,1.5482151626806,0.833,0.29,2.13610023469403e-68,2.00661777138e-16,0.933063563772265,0.827,0.388,7.34442170502793e-12,2.00661777138e-16,1.16723599611706e-72
"PDE3A",8.08722417822863e-73,1.94318087636869,0.91,0.429,2.96000492147346e-68,1.35434282220945e-27,1.28815698654405,0.949,0.443,4.9570301635688e-23,1.35434282220945e-27,1.61744483564574e-72
"MYH7B",1.06887446698279e-72,0.894114123159848,0.614,0.139,3.91218743660371e-68,6.58913749704369e-23,0.757728922704793,0.643,0.225,2.41169021529296e-18,6.58913749704369e-23,2.13774893396556e-72
"PTGDS",1.60687753715018e-72,0.771068236944185,0.852,0.314,5.88133247372338e-68,2.64650717542349e-42,1.42692639674695,0.939,0.386,9.6864809127675e-38,2.64650717542349e-42,3.21375507430039e-72
"USP13",3.51920532719015e-72,1.06722252007681,0.743,0.206,1.28806434180487e-67,9.77526677839605e-18,0.648105077814024,0.673,0.263,3.57784539356074e-13,9.77526677839605e-18,7.03841065438023e-72
"PIP5K1B",1.96993363480217e-71,1.02546230020224,0.752,0.208,7.21015409673943e-67,2.0660119174069e-24,0.880672031716143,0.755,0.28,7.56181021890101e-20,2.0660119174069e-24,3.9398672696044e-71
"AL136171.2",8.21831202197828e-71,1.56236608850975,0.719,0.204,3.00798438316427e-66,5.82997688161106e-28,1.2314712075693,0.735,0.248,2.13382983843847e-23,5.82997688161106e-28,1.64366240439566e-70
"LINC01954",1.08788580167692e-70,0.89085345115347,0.581,0.126,3.98177082271769e-66,1.41179461608467e-23,0.826794895796663,0.582,0.191,5.16730947433151e-19,1.41179461608467e-23,2.17577160335384e-70
"SRL",1.29636720245102e-70,0.889205431041696,0.681,0.167,4.74483359769097e-66,5.96066190376877e-29,1.08158062443314,0.704,0.237,2.18166186339841e-24,5.96066190376877e-29,2.59273440490202e-70
"MIR1-1HG",1.8024138657502e-70,1.08083939061013,0.543,0.112,6.59701499003229e-66,2.80089900311198e-16,0.878604801610478,0.551,0.209,1.02515704412902e-11,2.80089900311198e-16,3.60482773150041e-70
"TPM1",1.93446611279432e-70,1.05051508882621,0.976,0.743,7.08033941943848e-66,2.05864032578289e-36,1.41737826463547,0.959,0.661,7.53482945639795e-32,2.05864032578289e-36,3.86893222558864e-70
"CACNA2D3",2.5784280475261e-70,1.44187516385579,0.757,0.215,9.43730449675026e-66,6.13432290090335e-13,0.659790499272595,0.633,0.272,2.24522352495963e-08,6.13432290090335e-13,5.15685609505217e-70
"FAM160A1",3.47063919794185e-70,0.916332044000004,0.567,0.121,1.27028865283869e-65,1.07524403906776e-14,0.575488827389248,0.5,0.19,3.93550070739193e-10,1.07524403906776e-14,6.94127839588376e-70
"CADM1",3.96730844441994e-70,1.01280717692901,0.705,0.18,1.45207456374214e-65,8.54471596654468e-23,0.883724145512928,0.714,0.269,3.12745149091502e-18,8.54471596654468e-23,7.93461688883998e-70
"NCKAP5",1.23805957461313e-69,1.3163260697213,0.71,0.19,4.53142184904152e-65,5.41362771160187e-21,0.907314440000918,0.755,0.311,1.9814418787234e-16,5.41362771160187e-21,2.47611914922625e-69
"MIR3936HG",1.25075254902137e-69,0.827620918643164,0.595,0.134,4.57787940467313e-65,3.8415763045416e-23,0.743736834410715,0.643,0.221,1.40605534322527e-18,3.8415763045416e-23,2.50150509804278e-69
"COX7A1",1.68440525398439e-69,1.21139377425997,0.929,0.42,6.16509167010828e-65,2.15109534065097e-29,1.19172938536687,0.837,0.353,7.87322405631661e-25,2.15109534065097e-29,3.36881050796876e-69
"GJA1",1.86136788871249e-69,1.20171801492776,0.695,0.186,6.81279260947658e-65,1.16053727364478e-18,0.721733648733035,0.622,0.237,4.24768247526727e-14,1.16053727364478e-18,3.72273577742494e-69
