"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NDUFA12",5.81087232032561e-29,0.306617531247996,0.33,0.172,1.6988666315704e-24
"AC019211.1",6.72124657943343e-29,-0.277832679612905,0.03,0.178,1.96502364996316e-24
"RPL28",8.14813937403131e-29,0.364091932308026,0.238,0.103,2.38219002739179e-24
"CD151",1.16682558511421e-28,0.311860428410927,0.203,0.079,3.41133128063991e-24
"ELOB",1.25685162016855e-28,0.253675216340307,0.233,0.098,3.67453139672478e-24
"RPS18",1.38250280269751e-28,0.37216370444056,0.29,0.142,4.04188519396644e-24
"DCLK2",1.45020788023284e-28,-0.310022583644661,0.249,0.445,4.23982775864872e-24
"GFOD1",1.63358891307399e-28,-0.264520890747606,0.146,0.338,4.77596054626312e-24
"ATP5PD",1.65716392240393e-28,0.368144075991527,0.361,0.202,4.84488444354014e-24
"CDC42BPA",1.90539664186475e-28,-0.252000731222297,0.562,0.739,5.5706176221558e-24
"B2M",2.01965302964076e-28,0.428542856359641,0.29,0.139,5.90465759745772e-24
"NDUFAB1",2.69773253640474e-28,0.369572529623963,0.466,0.298,7.8870908434329e-24
"KIF1B",3.2909444920412e-28,-0.289429814280137,0.427,0.624,9.62140531693164e-24
"RPS13",3.53470108900495e-28,0.382724326498628,0.339,0.179,1.03340521038149e-23
