"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CDH13",4.79817876517069e-14,-0.260205544361993,0.951,0.903,1.4027955437853e-09
"CKM",3.14339453575432e-13,-0.26319692961264,0.598,0.673,9.19002826473133e-09
"PRKAG2",7.81589998876253e-13,-0.328253587195724,0.458,0.546,2.28505652071461e-08
"SCN5A",2.01246761513307e-11,-0.266797109495719,0.6,0.631,5.88365031960305e-07
"PHACTR1",8.11640627616737e-11,-0.355636170649722,0.822,0.808,2.37291253890029e-06
"MT-ND4",1.0925121041971e-10,-0.420218084786447,0.436,0.526,3.19406838783063e-06
"MYL2",2.0054854696769e-10,-0.346795180745571,0.983,0.979,5.86323731914737e-06
"CALD1",6.11393052768154e-09,-0.579986783571399,0.601,0.638,0.000178746872907297
"DLG1",6.3761693856714e-09,-0.466964305967419,0.48,0.534,0.000186413688159489
"AC018464.1",5.97475202370755e-07,-0.279481024942141,0.745,0.747,0.0174677850165114
"ROR1",7.58471967770941e-07,-0.614888462974481,0.805,0.773,0.0221746864497512
"MT-CYB",8.32740172892035e-07,-0.383955415737373,0.44,0.501,0.0243459916946715
"MT-CO2",1.55610146534442e-05,-0.460890211268591,0.596,0.624,0.454941824408094
"LARGE1",0.000550395238568172,-0.266293036650439,0.944,0.894,1
"PDE4D",0.00641600557010999,-0.393425206266258,0.841,0.735,1
"MYPN",0.0147026913220955,-0.261996357242599,0.801,0.71,1
"MT-ATP6",0.0436578170251922,-0.400179294938247,0.693,0.67,1
"MT-CO1",0.0698226663527355,-0.350988100737709,0.796,0.776,1
"MYO18B",0.109317191631687,-0.519102980612279,0.848,0.778,1
"ACTA1",0.351101854274571,-0.32615435527775,0.618,0.562,1
"MT-CO3",0.793432982462015,-0.314456515150358,0.733,0.679,1
