p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
9.575348260233715e-100,-0.2612171814627794,0.094,0.22,2.799448817361929e-95,Chemo,TINAGL1
1.7765556316140414e-99,-0.34543457067834804,0.121,0.257,5.193938044586811e-95,Chemo,CD34
3.5335567860333753e-99,-0.31662177314513185,0.289,0.47,1.0330706619647176e-94,Chemo,RPL15
1.2939180781255152e-98,-0.3611334540202291,0.173,0.329,3.782898893207756e-94,Chemo,ABCA1
1.7806689758918007e-98,-0.3952492399659824,0.459,0.643,5.205963817917269e-94,Chemo,RPL13A
1.4700089649482925e-97,-0.35521492084918743,0.066,0.175,4.297718209922828e-93,Chemo,ABCA9-AS1
1.8630822014693907e-97,-0.7031071025459315,0.779,0.819,5.44690712421591e-93,Chemo,PTPRG
2.5595371694938138e-96,-0.3982824976720738,0.174,0.32,7.483062868732114e-92,Chemo,SPATA6
3.1386385535569373e-96,0.900705130761952,0.299,0.142,9.176123675179062e-92,Chemo,NAMPT
2.1733526819108735e-95,-0.545877563455115,0.443,0.594,6.354013900834629e-91,Chemo,AKT3
4.593540768330466e-95,0.34500711309765286,0.256,0.099,1.342967579029095e-90,Chemo,ENOX1
1.0974806877029339e-94,-0.31783369803165856,0.152,0.297,3.2085945385682973e-90,Chemo,AP002518.2
1.285266446617691e-92,-0.2838458332095271,0.229,0.392,3.7576049833314815e-88,Chemo,RPL22
3.521229768572813e-91,-0.3987615427976916,0.49,0.658,1.0294667351399475e-86,Chemo,RPL10
1.179297377373358e-90,-0.8061985206952851,0.118,0.238,3.447793812488749e-86,Chemo,PRELP
5.074174103840661e-90,-1.0771016473718016,0.101,0.217,1.4834855409988557e-85,Chemo,ACSM3
8.353255219601234e-90,-0.33425771929545345,0.22,0.38,2.442157696002617e-85,Chemo,ZFP36L2
8.856639835226592e-90,-0.31486879608073304,0.074,0.183,2.589327222226846e-85,Chemo,RIPOR3
8.905852311187295e-90,-0.6988193281961221,0.568,0.694,2.6037149816987174e-85,Chemo,FKBP5
