"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RYR3.1",1.28401241392541e-55,-28.1883950094586,0.185,0.008,3.85203724177623e-52,"Chemo-Macrophage","RYR3"
"LPAR1.1",1.425714822194e-55,-5.34061051328606,0.209,0.157,4.27714446658201e-52,"Chemo-Macrophage","LPAR1"
"TWIST2",1.66502059199606e-55,-30.2019289321463,0.31,0.007,4.99506177598819e-52,"Chemo-Macrophage","TWIST2"
"POLQ",1.74348222689995e-55,-22.4207762511859,0.141,0.027,5.23044668069985e-52,"Chemo-Macrophage","POLQ"
"TRAF1.1",1.77089083084402e-55,-25.8196229594119,0.256,0.022,5.31267249253205e-52,"Chemo-Macrophage","TRAF1"
"F8.1",1.83961358832551e-55,-25.7015830609035,0.2,0.034,5.51884076497654e-52,"Chemo-Macrophage","F8"
"EPHB2.1",1.88071714912632e-55,-6.8442509805279,0.274,0.062,5.64215144737895e-52,"Chemo-Macrophage","EPHB2"
"FABP3",1.95636674855833e-55,1.07377472980246,0.197,0.259,5.86910024567499e-52,"Chemo-Macrophage","FABP3"
"RBKS.1",2.00854650310248e-55,-26.8594605732284,0.363,0.035,6.02563950930743e-52,"Chemo-Macrophage","RBKS"
"GRIN3B.1",2.47491894761513e-55,-27.1533129098818,0.399,0.01,7.42475684284538e-52,"Chemo-Macrophage","GRIN3B"
"SYT1.1",2.93607715324072e-55,-15.9263141618737,0.278,0.146,8.80823145972216e-52,"Chemo-Macrophage","SYT1"
"ST7.1",3.04090566974605e-55,-2.92235662712753,0.184,0.18,9.12271700923814e-52,"Chemo-Macrophage","ST7"
"FANCA.1",4.73517545179978e-55,-26.8462339499254,0.181,0.036,1.42055263553993e-51,"Chemo-Macrophage","FANCA"
"KCNE1.1",5.08126444616494e-55,-14.1421146623652,0.205,0.234,1.52437933384948e-51,"Chemo-Macrophage","KCNE1"
"SERPINE2.1",6.41869637637797e-55,-23.7412209746468,0.233,0.013,1.92560891291339e-51,"Chemo-Macrophage","SERPINE2"
"RASGRP1",6.54263860714492e-55,-30.0733136679117,0.101,0.006,1.96279158214348e-51,"Chemo-Macrophage","RASGRP1"
"NPR3.1",7.04057336076963e-55,-27.5486999542585,0.274,0.014,2.11217200823089e-51,"Chemo-Macrophage","NPR3"
"CALCB.1",8.46687711107371e-55,-13.8293654386784,0.247,0.049,2.54006313332211e-51,"Chemo-Macrophage","CALCB"
"GSG1L.1",9.34595444301024e-55,-29.460185327475,0.337,0.009,2.80378633290307e-51,"Chemo-Macrophage","GSG1L"
"MYLK.1",1.01959554476554e-54,-17.9107278994095,0.22,0.044,3.05878663429663e-51,"Chemo-Macrophage","MYLK"
"NUBPL",1.21281527576674e-54,-4.1322750413861,0.276,0.218,3.63844582730021e-51,"Chemo-Macrophage","NUBPL"
"LINC01117.1",2.70224128052009e-54,-30.5520744965285,0.2,0.003,8.10672384156027e-51,"Chemo-Macrophage","LINC01117"
"LINC01505.1",3.41096166518807e-54,-30.5249806304126,0.134,0.004,1.02328849955642e-50,"Chemo-Macrophage","LINC01505"
"TOX2",5.16263214362392e-54,-25.0129239893778,0.279,0.018,1.54878964308718e-50,"Chemo-Macrophage","TOX2"
"ANXA1",5.382205676049e-54,-27.8134625339688,0.338,0.279,1.6146617028147e-50,"Chemo-Macrophage","ANXA1"
"UNC5C.1",6.25849865459007e-54,-24.5862134241007,0.283,0.023,1.87754959637702e-50,"Chemo-Macrophage","UNC5C"
"CYP1B1.1",8.07246747822607e-54,-26.3450225900062,0.318,0.051,2.42174024346782e-50,"Chemo-Macrophage","CYP1B1"
"MX1.1",8.69684636619917e-54,-15.9331951854632,0.226,0.101,2.60905390985975e-50,"Chemo-Macrophage","MX1"
