"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SMYD3",0.00513458789752576,-0.487005268291469,0.169,0.379,1
"ARHGAP32",0.00517346951365535,0.36609045945301,0.356,0.185,1
"MT-CYB",0.00532847510083316,0.364575975612519,0.898,0.718,1
"RPL27",0.00536456520608216,0.291727857111663,0.339,0.174,1
"SLC9A9",0.00538108515828919,0.334740746071756,0.22,0.087,1
"AC023509.6",0.00550736994110705,0.363049459698436,0.237,0.103,1
"RNF13",0.00555871901591913,0.344915094928123,0.254,0.113,1
"FRAS1",0.00562891022412331,-0.794948988455443,0.051,0.2,1
"WWP1",0.00569960630733577,0.420533871228383,0.322,0.174,1
"COMMD10",0.00573984446528251,0.459715054312483,0.424,0.256,1
"B3GALNT2",0.00582585388214149,-0.413794689403662,0.119,0.287,1
"RABGAP1",0.00593297007495129,0.524222681986074,0.627,0.462,1
"KCNT2",0.00595928686649846,-0.351663621742345,0.017,0.154,1
"HES1",0.00608881407350952,0.376763960967463,0.237,0.103,1
"COL4A5",0.0060922730076227,0.362117185003061,0.254,0.113,1
"CCDC144A",0.00609430741952301,-0.286039142205289,0.102,0.277,1
"LIN7A",0.0061960273989134,0.295002989144524,0.339,0.174,1
"TSC22D3",0.00632122906993767,0.303444615582218,0.271,0.128,1
"MCL1",0.00636283140870041,-0.342426931470768,0.068,0.221,1
"ASB3",0.00637239275338246,0.490222010750746,0.322,0.169,1
"FUS",0.00673426461101215,-0.347462521368066,0.254,0.436,1
"BRI3",0.00682397610498696,0.266763952255749,0.339,0.179,1
"ANK3",0.0068488956108518,-0.539332252471592,0.034,0.169,1
"AHI1",0.00685750887057024,-0.471709948415734,0.136,0.308,1
"HMGN3",0.00690798847604752,0.293530099745649,0.322,0.169,1
"SDCCAG8",0.00703819326872585,-0.459312922266266,0.136,0.292,1
"NFIL3",0.00718267754039385,-0.287285377278307,0.017,0.144,1
"COX8A",0.00728856519752418,0.287531359124206,0.339,0.179,1
"MT-CO2",0.00747918253196687,0.342315954029248,1,0.846,1
"MEF2D",0.00759353718491277,0.298761448966189,0.441,0.277,1
"LARP1",0.00766892442119419,-0.263438635323939,0.034,0.169,1
"NR2F2-AS1",0.00772894646653487,0.345821127054141,0.814,0.759,1
"CPED1",0.00773627985647567,-0.261892219849909,0.119,0.303,1
"THBS1",0.0080346992244201,-0.460667777624149,0.034,0.169,1
"MAGI1",0.00805970552490159,-0.317540971001528,0.254,0.467,1
"ABCA5",0.00809880305692712,0.337285332023126,0.424,0.262,1
"GATA4",0.00813094764254851,0.384347132386527,0.39,0.226,1
"NFIB",0.00834081912144091,0.50379452618105,0.831,0.728,1
"C2CD2",0.00837467580070722,-0.442978229872418,0.136,0.303,1
"CDYL",0.00838088655535463,0.341082272945583,0.237,0.108,1
"LINC01091",0.00851222843260338,-0.919168925386955,0.068,0.21,1
"HLA-A",0.00857583650598254,-0.355039928082965,0.102,0.256,1
"SPARC",0.00890897953579145,0.391376901063869,0.746,0.549,1
"ANO6",0.00891392419108651,-0.405709372867905,0.186,0.354,1
"SNTB1",0.0092391339799082,0.314811470224705,0.39,0.226,1
"TACC1",0.00923975482600248,-0.536578048592968,0.695,0.8,1
"TM4SF1",0.00953260616045905,-0.251465993657863,0.034,0.164,1
"LINC01184",0.0095389021094001,0.25281854251225,0.271,0.133,1
"MPRIP",0.00981534539852412,-0.404179330259346,0.373,0.559,1
"SOX6",0.0098186429648718,-0.346630140113883,0.119,0.282,1
"CLSTN2",0.00985012000013894,0.758902979725682,0.22,0.092,1
"MT-ND4",0.00987386269944937,0.487028086398011,0.847,0.738,1
"GLIS3",0.00988388902367889,-0.476946596781881,0.051,0.19,1
"ADGRL3",0.0099134215783588,-0.928532764736948,0.119,0.277,1
"FLNA",0.0100133846102516,-0.340735810610279,0.288,0.472,1
"MYOCD",0.0101380390674233,-0.406557268890483,0.203,0.39,1
"KPNA6",0.0103048322518438,-0.275312735612231,0.085,0.236,1
"PBX1",0.0103746299808873,0.546688962409775,0.576,0.456,1
"TSPAN5",0.0104491707741494,0.295294472131855,0.102,0.026,1
"SEPTIN11",0.0105517372149195,0.474143802737172,0.407,0.251,1
"ASPN",0.0107955867498744,-0.428392065616619,0.102,0.251,1
"ENOX1",0.0108030014380476,-0.377998399586795,0.034,0.159,1
"CST3",0.0108778058258794,0.422937051438037,0.542,0.359,1
"CLMN",0.0111559924521772,0.366177158573596,0.847,0.708,1
"AP003464.1",0.0112467096629929,0.263460132088858,0.102,0.026,1
"MAP1B",0.0113890783737012,0.465646875455798,0.695,0.497,1
"RPL38",0.0114910831712098,0.446260808136994,0.322,0.19,1
"DOCK5",0.0116092228285761,0.296352942495468,0.203,0.087,1
"EID1",0.0117193374236206,0.262344050330569,0.356,0.195,1
"PPHLN1",0.0119509616165683,0.301188186360729,0.254,0.128,1
"NR4A3",0.0120574746963233,-0.427870605084455,0.051,0.19,1
"ATP5MG",0.0121195043145965,0.275161388723635,0.356,0.2,1
"PRMT2",0.0121603418844932,-0.270076087246083,0.119,0.282,1
"SLIT3",0.0122042987110256,-0.40776303163588,0.576,0.738,1
"COX7C",0.0123870408266495,0.300189435859859,0.492,0.323,1
"ZNF208",0.0123893299985031,-0.258034744180395,0.068,0.205,1
"RCSD1",0.0124361410440566,0.379395176434897,0.305,0.164,1
"TRIO",0.0124522937565621,-0.414762778714196,0.407,0.569,1
"PLD1",0.0124968468778499,0.367676710344962,0.492,0.313,1
"TNIK",0.012570456974608,-0.286539991035485,0.051,0.185,1
"EDIL3",0.0128490222548579,-0.334206424665799,0.017,0.128,1
"NOTCH3",0.0131321289771836,-0.387703973158424,0.492,0.641,1
"NECAB1",0.0132149316904196,0.261715288045223,0.119,0.036,1
"LINC00662",0.0132262907022767,-0.251853762788242,0.034,0.159,1
"MT-ND4L",0.0132480960115343,0.25205346376949,0.339,0.19,1
"IRAK3",0.0134315682629499,0.287823402655747,0.22,0.103,1
"EOGT",0.0135382845803663,-0.302793472034338,0.068,0.21,1
"GJC1",0.0135550236022355,0.316939801039403,0.559,0.374,1
"PLCB4",0.0135979241097538,0.397325283449779,0.712,0.554,1
"TANC1",0.0136030720076502,-0.379213601724547,0.119,0.282,1
"DAAM2",0.0136544208486302,0.381613360628858,0.559,0.4,1
"VGLL3",0.0137873072140337,-0.377998399586795,0.017,0.128,1
"GEM",0.0138361729462334,-0.336951801404617,0.068,0.2,1
"SLC22A3",0.0138588842018917,0.296282541371097,0.322,0.179,1
"GUCY1A2",0.0142664098597914,-0.445237737054543,0.305,0.497,1
"PGM5",0.014454140952779,0.393481355912396,0.237,0.118,1
"DCTN4",0.0145123550778665,-0.252229122499189,0.068,0.2,1
"MFN1",0.0147552153806236,-0.258034744180395,0.068,0.2,1
"MORC3",0.0152345676962827,-0.263817096774401,0.068,0.2,1
"TTC3",0.0152351917228286,-0.322005971060272,0.136,0.297,1
"RANBP17",0.0155006427774693,-0.285581071066058,0.068,0.21,1
"ABCA8",0.0158264061277432,-0.275312735612231,0.017,0.123,1
"TUBB6",0.0158429649609456,-0.313067657607649,0.102,0.241,1
"YTHDF3",0.0158549622390745,0.291727857111663,0.305,0.169,1
"MAPKAPK2",0.0158598189765169,-0.281118357293436,0.051,0.174,1
"HIF3A",0.0158664413965781,0.349647833040845,0.288,0.154,1
